Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
Sandie Clair,F,28,160,60,France,Cycling,0
Sandra Aguilar Navarro,F,23,167,50,Spain,Rhythmic Gymnastics,1
Sandra Auffarth,F,29,170,57,Germany,Equestrianism,1
Sandra Elisabeth Eriksson,F,27,163,47,Finland,Athletics,0
Sandra Lorena Arenas Campuzano,F,22,160,50,Colombia,Athletics,0
Sandro Aminashvili,M,24,180,85,Georgia,Wrestling,0
Sandro Bazadze,M,23,193,88,Georgia,Fencing,0
Santiago Ascacibar,M,19,168,69,Argentina,Football,0
Santiago lvarez Fourcade,M,22,188,93,Argentina,Rugby Sevens,0
Santo Condorelli,M,21,188,88,Canada,Swimming,0
Saoussen Boudiaf,F,22,173,69,France,Fencing,0
Sara Anneli Algotsson Ostholt,F,41,163,56,Sweden,Equestrianism,0
Sara Bertolasi,F,28,179,68,Italy,Rowing,0
Sara Dosho,F,21,159,69,Japan,Wrestling,1
Sara Errani,F,29,164,58,Italy,Tennis,0
Sara Ilonka Dbritz,F,21,171,59,Germany,Football,1
Sara Lopez Mota Carmo,F,29,179,69,Portugal,Sailing,0
Sarah Amer Attar,F,23,165,52,Saudi Arabia,Athletics,0
Sarah Atcho,F,21,180,63,Switzerland,Athletics,0
Sarah Banting,F,22,165,60,Australia,Rowing,0
Sarah Bouhaddi,F,29,175,69,France,Football,0
Sarah Bro,F,20,177,64,Denmark,Swimming,0
Sarah Ellen Barrow,F,27,162,52,Great Britain,Diving,0
Sarah-Anne Brault,F,26,171,65,Canada,Triathlon,0
Saraswati Bhattarai,F,22,163,46,Nepal,Athletics,0
Sardorbek Dusmurotov,M,23,168,110,Uzbekistan,Weightlifting,0
Sarra Besbes,F,27,175,62,Tunisia,Fencing,0
Saskia Bartusiak,F,33,170,60,Germany,Football,1
Saskia Clark,F,36,176,68,Great Britain,Sailing,1
Saturday Keigo Erimuya,M,18,171,,Nigeria,Football,1
Saud Al-Zaabi,M,27,,,United Arab Emirates,Athletics,0
Savitree Amitrapai,F,27,164,56,Thailand,Badminton,0
Sbastien Combot,M,29,169,64,France,Canoeing,0
Sbastien Dockier,M,26,175,74,Belgium,Hockey,1
Scott Bowden,M,21,175,65,Australia,Cycling,0
Scott Curry,M,28,193,100,New Zealand,Rugby Sevens,0
Scott David Durant,M,28,196,96,Great Britain,Rowing,1
Scott Evans,M,28,182,78,Ireland,Badminton,0
Sebastian Brendel,M,28,192,92,Germany,Canoeing,2
Seema Antil,F,33,182,92,India,Athletics,0
Seham Muhammad Ahmad El-Sawalhy,F,25,175,65,Egypt,Taekwondo,0
Seimone Delicia Augustus,F,32,183,74,United States,Basketball,1
Seiya Adachi,M,21,172,67,Japan,Water Polo,0
Selina Christina Bchel,F,25,167,57,Switzerland,Athletics,0
Seluk Eker,M,24,163,52,Turkey,Boxing,0
Seluk ebi,M,34,169,76,Turkey,Wrestling,0
Senna Sandra Deriks,F,15,155,46,Belgium,Gymnastics,0
Seren Bundy-Davies,F,21,175,63,Great Britain,Athletics,0
Sergey Vitalyevich Chernetsky,M,26,176,63,Russia,Cycling,0
Serghei Cechir,M,25,172,72,Moldova,Weightlifting,0
Sergi Enrique Montserrat,M,28,174,69,Spain,Hockey,0
Sergio lvarez Moya,M,31,174,74,Spain,Equestrianism,0
Serhiy Volodymyrovych Budza,M,31,180,75,Ukraine,Athletics,0
Shaimaa Abdel-Latif-Hashad,F,35,165,57,Egypt,Shooting,0
Shakira Baker,F,24,172,89,New Zealand,Rugby Sevens,1
Shani Bloch (-Davidov),F,37,162,59,Israel,Cycling,0
Shanice Craft,F,23,185,93,Germany,Athletics,0
Sharath Kamal Achanta,M,34,186,85,India,Table Tennis,0
Sharon Evelin Acevedo Tangarife,F,23,170,61,Colombia,Rugby Sevens,0
Shawn Erbelau Dingilius-Wallace,M,22,184,93,Palau,Swimming,0
"Shawnacy Campbell ""Shawn"" Barber",M,22,187,82,Canada,Athletics,0
Shehzana Anwar,F,26,160,55,Kenya,Archery,0
Sheikh Ali bin Khalid Al-Thani,M,33,194,73,Qatar,Equestrianism,0
Sheila Chajira Kavugwe,F,22,165,73,Kenya,Rugby Sevens,0
Sherine Ahmed El-Zeiny,F,25,162,50,Egypt,Gymnastics,0
Shirin Akter,F,21,159,50,Bangladesh,Athletics,0
Shitaye Eshete Habtegebrel,F,26,164,51,Bahrain,Athletics,0
Shiv Sankar Prasad Chawrasia,M,38,165,67,India,Golf,0
Shmagi Bolkvadze,M,22,170,66,Georgia,Wrestling,1
Sid Ali Boudina,M,26,178,73,Algeria,Rowing,0
Silvan Dillier,M,26,183,73,Switzerland,Cycling,0
Silvano Chesani,M,28,190,75,Italy,Athletics,0
Silvia Di Pietro,F,23,165,57,Italy,Swimming,0
Silviya Georgieva Danekova,F,33,165,50,Bulgaria,Athletics,0
Simeon Chamov,M,25,180,69,Bulgaria,Boxing,0
Simon Andreassen,M,18,177,68,Denmark,Cycling,0
Simon Child,M,28,186,80,New Zealand,Hockey,0
Simon Clarke,M,30,175,64,Australia,Cycling,0
Simona Baumrtov,F,24,176,68,Czech Republic,Swimming,0
Simona Castro Lazo,F,27,160,54,Chile,Gymnastics,0
Simonas Bilis,M,22,196,84,Lithuania,Swimming,0
Simone Arianne Biles,F,19,143,47,United States,Gymnastics,5
Simone Buti,M,32,206,100,Italy,Volleyball,1
Simone Consonni,M,21,165,60,Italy,Cycling,0
Simone Tetsche Christensen,F,22,170,68,Denmark,Cycling,0
Simoya Kadine Campbell,F,22,167,54,Jamaica,Athletics,0
Siraba Dembl,F,30,172,64,France,Handball,1
Siri Arun Budcharern,F,14,166,63,Laos,Swimming,0
Sleyman Atl,M,22,168,57,Turkey,Wrestling,0
Slvia Domnguez Fernndez,F,29,167,64,Spain,Basketball,1
Soa Bernardov,F,40,167,54,Czech Republic,Synchronized Swimming,0
Sofia Asoumanaki,F,19,190,85,Greece,Rowing,0
Sofia Assefa Abebe,F,28,167,52,Ethiopia,Athletics,0
Sofia Bekatorou (-Kosmatopoulos),F,38,172,62,Greece,Sailing,0
Sofia Ennaoui,F,20,158,42,Poland,Athletics,0
Sofian Bouvet,M,27,173,63,France,Sailing,0
Sofiane Bendebka,M,23,170,65,Algeria,Football,0
Sofya Denisovna Andreyeva,F,18,178,64,Russia,Swimming,0
Solomon Bockarie-Bayoh,M,29,171,72,Netherlands,Athletics,0
Soner Demirta,M,25,170,74,Turkey,Wrestling,1
Sonia Aktar,F,19,,,Bangladesh,Swimming,0
Sonia Asselah,F,24,176,78,Algeria,Judo,0
Sonja Barjaktarovi,F,29,180,74,Montenegro,Handball,0
Sophie Charlotte Bray,F,26,164,58,Great Britain,Hockey,1
Sophie Claire Ainsworth,F,27,173,68,Great Britain,Sailing,0
Sophie Cocks,F,22,172,62,New Zealand,Hockey,0
Soslan Tamazovich Daurov,M,25,164,60,Belarus,Wrestling,0
Souad At Salem (-Mahour-Bacha),F,37,158,50,Algeria,Athletics,0
Soufiane El-Bakkali,M,20,188,62,Morocco,Athletics,0
Soufiyan Bouqantar,M,22,173,54,Morocco,Athletics,0
Soule Soilihi Athoumane,M,25,180,75,Comoros,Swimming,0
Souleymane Diop Cissokho,M,25,179,69,France,Boxing,1
Sra Cholnoky,F,27,165,66,Hungary,Sailing,0
Sren Dahl,M,23,193,86,Denmark,Swimming,0
"Srgio ""Escadinha"" Dutra dos Santos",M,40,184,78,Brazil,Volleyball,1
Sri Wahyuni Agustiani,F,21,147,47,Indonesia,Weightlifting,1
Stanley Amuzie,M,20,171,85,Nigeria,Football,1
Stanley Kipleting Biwott,M,30,152,61,Kenya,Athletics,0
Stanly Jos del Carmen Cruz,M,20,163,62,Dominican Republic,Athletics,0
Steeve Barry,M,25,181,85,France,Rugby Sevens,0
Stefan Birevi,M,26,210,104,Serbia,Basketball,1
Stefan Brits,M,24,183,72,South Africa,Athletics,0
Stefan Denifl,M,28,179,65,Austria,Cycling,0
Stefaniya Aleksandrovna Elfutina,F,19,170,59,Russia,Sailing,1
Stefano Brecciaroli,M,41,177,71,Italy,Equestrianism,0
Stefanos Dimitriadis,M,26,189,82,Greece,Swimming,0
Stefany Mildred Coronado Gemio,F,19,173,54,Bolivia,Athletics,0
Steffen Deibler,M,29,186,81,Germany,Swimming,0
Stella Akakpo,F,22,166,60,France,Athletics,0
Stella Chesang,F,19,,,Uganda,Athletics,0
Stephan de Freitas Barcha,M,26,,,Brazil,Equestrianism,0
Stephanie Marie Enright,F,25,179,56,Puerto Rico,Volleyball,0
"Stephanie-Elise ""Steph"" Catley",F,22,171,58,Australia,Football,0
Stephen Bird,M,28,189,86,Australia,Canoeing,0
"Stephen Phillip ""Steve"" Cummings",M,35,190,75,Great Britain,Cycling,0
Steven Gerard Donnelly,M,27,180,69,Ireland,Boxing,0
Steven James Burke,M,28,183,78,Great Britain,Cycling,1
Stig Andr Berge,M,33,167,60,Norway,Wrestling,1
Stphanie Brieussel,F,42,169,55,France,Equestrianism,0
Stuart Dutamby,M,22,176,74,France,Athletics,0
Sultan Duzelbayev,M,22,176,46,Kazakhstan,Archery,0
Sultan Mubarak M. Al-Dawoodi,M,31,192,86,Saudi Arabia,Athletics,0
Susana Cristina Sade da Costa,F,31,178,63,Portugal,Athletics,0
Susann Jakobsen Bjrnsen,F,23,182,72,Norway,Swimming,0
"Suzanne Brigit ""Sue"" Bird",F,35,175,66,United States,Basketball,1
Sven Bender,M,27,185,80,Germany,Football,1
Sven Erik Bystrm,M,24,188,72,Norway,Cycling,0
Svetlana Mikhaylovna Chimrova,F,20,173,61,Russia,Swimming,0
Svitlana Viktorivna Akhadova,F,23,170,69,Ukraine,Canoeing,0
Sylwester Bednarek,M,27,194,78,Poland,Athletics,0
Sylwia Katarzyna Bogacka,F,34,162,57,Poland,Shooting,0
Tabea Lara Alt,F,16,158,50,Germany,Gymnastics,0
Tadesse Abraham,M,33,178,61,Switzerland,Athletics,0
Taha Akgl,M,25,192,125,Turkey,Wrestling,1
Tain Mayara da Paixo,F,24,171,69,Brazil,Basketball,0
Tairat Bunsuk,M,23,161,69,Thailand,Weightlifting,0
Tais Balconi,F,25,164,63,Brazil,Rugby Sevens,0
Takashi Eto,M,25,183,67,Japan,Athletics,0
Takuma Asano,M,21,171,67,Japan,Football,0
Tales Rocha Cerdeira,M,29,182,77,Brazil,Swimming,0
Taliqua Clancy,F,24,184,68,Australia-1,Beach Volleyball,0
Talita Baqlah,F,20,172,62,Jordan,Swimming,0
Tamara Csipes,F,26,176,78,Hungary,Canoeing,1
Tamika Devonne Catchings,F,37,185,77,United States,Basketball,1
Tams Decsi,M,33,178,82,Hungary,Fencing,0
Tamsin Cook,F,17,170,61,Australia,Swimming,1
Tanguy Cosyns,M,25,174,70,Belgium,Hockey,1
Tania Cagnotto (-Parolin),F,31,160,54,Italy,Diving,2
Tania Calvo Barbero,F,24,166,64,Spain,Cycling,0
Tania Di Mario,F,37,168,62,Italy,Water Polo,1
Tania Karina Arrayales Macas,F,20,158,53,Mexico,Fencing,0
Tanya Acosta,F,25,182,70,Argentina,Volleyball,0
Tarasue Barnett,F,22,178,81,Jamaica,Athletics,0
Tarek Aziz Benaissa,M,25,170,66,Algeria,Wrestling,0
Tariq Ahmed Al-Amri,M,25,165,49,Saudi Arabia,Athletics,0
Tark Langat Akda,M,28,176,60,Turkey,Athletics,0
Taro Daniel,M,23,191,76,Japan,Tennis,0
Tatiana Ariza Daz,F,25,161,52,Colombia,Football,0
Tatiana Chica,F,21,175,60,Moldova,Swimming,0
Tatiele Roberta de Carvalho,F,26,156,50,Brazil,Athletics,0
Tatjana ekanovi,F,19,167,52,Bosnia and Herzegovina,Shooting,0
Tatyana Valeryevna Barsuk,F,31,170,66,Russia,Shooting,0
Tatyana Yevgenyevna Drozdovskaya,F,37,175,69,Belarus,Sailing,0
Tavis Bailey,M,24,191,125,United States,Athletics,0
Taylor Curran,M,24,183,80,Canada,Hockey,0
Taylor Ellis-Watson,F,23,183,65,United States,Athletics,1
Teddy H. Atine-Venel,M,31,184,77,France,Athletics,0
Teja Belak,F,22,157,48,Slovenia,Gymnastics,0
Teodorico Caporaso,M,28,166,60,Italy,Athletics,0
Teona Bostashvili,F,18,159,48,Georgia,Swimming,0
Teresa Patrcia Almeida,F,28,170,98,Angola,Handball,0
Terry Bouhraoua,M,28,169,65,France,Rugby Sevens,0
Teruyoshi Akiyama,M,44,168,65,Japan,Shooting,0
Tervel Ivaylov Dlagnev,M,30,188,122,United States,Wrestling,0
Tesfaye Abera Dibaba,M,24,192,68,Ethiopia,Athletics,0
Tewelde Estifanos Hidru,M,34,,,Eritrea,Athletics,0
Theo Bos,M,32,190,85,Netherlands,Cycling,0
Theodora Drakou,F,24,169,67,Greece,Swimming,0
Thiago Bomfim Campos Dantas,M,25,193,84,Brazil,Hockey,0
Thiago Braz da Silva,M,22,183,75,Brazil,Athletics,1
Thiago do Rosario Andr,M,20,163,52,Brazil,Athletics,0
Thiagus Petrus Gonalves dos Santos,M,27,198,104,Brazil,Handball,0
Thibault Colard,M,24,187,70,France,Rowing,1
Thibaut Amani Danho,M,22,185,82,Cote d'Ivoire,Swimming,0
Tho Bussire,M,21,188,90,France,Swimming,0
"Thomas ""Tom"" Cusack",M,23,191,101,Australia,Rugby Sevens,0
Thomas Barr,M,24,183,73,Ireland,Athletics,0
Thomas Barrows III,M,28,186,82,United States,Sailing,0
Thomas Boudat,M,22,175,69,France,Cycling,0
Thomas Briels,M,28,172,71,Belgium,Hockey,1
Thomas Dunstan,M,18,194,96,United States,Water Polo,0
Thomas Felipe Briceo Gonzlez,M,22,186,90,Chile,Judo,0
Thomas Gabriel Jrmie Baroukh,M,28,183,70,France,Rowing,1
"Thomas Robert ""Tom"" Daley",M,22,177,74,Great Britain,Diving,1
"Thomas Stewart ""Tom"" Bosworth",M,26,178,54,Great Britain,Athletics,0
Thomaz Cocchiarali Bellucci,M,28,187,80,Brazil,Tennis,0
Thomaz Cocchiarali Bellucci,M,28,187,80,Brazil-1,Tennis,0
Thorine Christelle Aboa Mbeza,F,23,182,78,Cameroon,Volleyball,0
Tia-Adana Belle,F,20,178,59,Barbados,Athletics,0
Tiago Andr Barata Feio Peixoto Apolnia,M,30,185,76,Portugal,Table Tennis,0
Tiago Henrique de Oliveira Camilo,M,34,180,90,Brazil,Judo,0
Tiberiu Alexandru Dolniceanu,M,28,179,79,Romania,Fencing,0
Tigist Assefa,F,19,168,53,Ethiopia,Athletics,0
Tijana Bogdanovi,F,18,172,52,Serbia,Taekwondo,1
Tijana Bokovi,F,19,193,82,Serbia,Volleyball,1
Timea Bacsinszky,F,27,170,62,Switzerland,Tennis,1
Timo Boll,M,35,181,74,Germany,Table Tennis,1
Timofey Aleksandrovich Deynichenko,M,29,186,98,Belarus,Wrestling,0
Timothy Deavin,M,32,185,77,Australia,Hockey,0
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,South Africa,Rugby Sevens,1
Tina Alexandria Charles,F,27,193,88,United States,Basketball,1
Tina Dietze,F,28,172,68,Germany,Canoeing,2
Tiril Merete Hartvedt Bue,F,23,180,,Norway,Sailing,0
Tirunesh Dibaba Keneni,F,31,166,50,Ethiopia,Athletics,1
Tmara Echegoyen Domnguez,F,32,174,70,Spain,Sailing,0
Tmea Babos,F,23,179,68,Hungary,Tennis,0
Tnu Endrekson,M,37,198,104,Estonia,Rowing,1
Tobias Dahm,M,29,205,124,Germany,Athletics,0
Tobias Englmaier,M,28,158,63,Germany,Judo,0
Tom Boon,M,26,184,81,Belgium,Hockey,1
Tom Burton,M,26,180,81,Australia,Sailing,1
Tom Dumoulin,M,25,186,70,Netherlands,Cycling,1
Tomas Alonso Aguilera Armendariz,M,27,202,95,Mexico,Volleyball,0
Tomomi Aoki,F,21,164,55,Japan,Swimming,0
Tonia Couch,F,27,166,54,Great Britain,Diving,0
Tonje Angelsen,F,26,179,62,Norway,Athletics,0
Tontowi Ahmad,M,29,179,72,Indonesia-1,Badminton,1
Tony Boyd Dodds,M,29,183,68,New Zealand,Triathlon,0
Tracy Eisser,F,26,185,84,United States,Rowing,0
Trayvon Jaquez Bromell,M,21,175,70,United States,Athletics,0
Trevor George Barry,M,33,190,77,Bahamas,Athletics,0
Troy Doris,M,27,172,74,Guyana,Athletics,0
Tsanko Rosenov Arnaudov,M,24,198,155,Portugal,Athletics,0
Tue Cantez,F,25,188,85,Turkey,Basketball,0
Tuyana Norpolovna Dashidorzhiyeva,F,20,169,57,Russia,Archery,1
Ugo Jrme Franois Marc Crousillat,M,25,190,94,France,Water Polo,0
Uro ukovi,M,26,199,101,Montenegro,Water Polo,0
Usain St. Leo Bolt,M,29,196,95,Jamaica,Athletics,3
Vadim Vladimirovich Anokhin,M,24,192,91,Russia,Fencing,0
Valdas Dopolskas,M,24,183,69,Lithuania,Athletics,0
Valentin Belaud,M,23,181,73,France,Modern Pentathlon,0
Valentin Demyanenko,M,32,193,93,Azerbaijan,Canoeing,1
Valentina Neli Elisei (Ardean-),F,34,172,64,Romania,Handball,0
Valeria Bianchi,F,30,170,62,Argentina,Handball,0
Valerie Kasanita Adams-Vili (-Price),F,31,193,120,New Zealand,Athletics,1
Valeriu Duminic,M,29,175,81,Moldova,Judo,0
Valeriy Oleksandrovych Andriitsev,M,29,181,97,Ukraine,Wrestling,0
Valeriya Davydova,F,18,168,48,Uzbekistan,Rhythmic Gymnastics,0
Valmir Berisha,M,20,182,81,Sweden,Football,0
Valriane Ayayi,F,22,184,72,France,Basketball,0
Vanessa Boslak,F,34,170,57,France,Athletics,0
Vanessa Cozzi,F,32,170,57,Brazil,Rowing,0
Vashti Cunningham,F,18,185,56,United States,Athletics,0
Vctor Aravena Pincheira,M,26,167,55,Chile,Athletics,0
Vctor Claver Arocas,M,27,206,107,Spain,Basketball,1
Vctor Estrella Burgos,M,36,173,77,Dominican Republic,Tennis,0
Vctor Leandro Cuesta,M,27,187,76,Argentina,Football,0
Veerle Dejaeghere,F,43,159,46,Belgium,Athletics,0
Ventsislav Vasilev Aydarski,M,25,168,60,Bulgaria,Swimming,0
Vera Adrian,F,22,168,57,Namibia,Cycling,0
Vera Lcia Mendes Barbosa,F,27,168,58,Portugal,Athletics,0
Vera Leonidovna Biryukova,F,18,168,47,Russia,Rhythmic Gymnastics,1
Vernica Cepede Royg,F,24,163,66,Paraguay,Tennis,0
Veronica Angella Campbell-Brown,F,34,168,58,Jamaica,Athletics,1
Veronica Bertolini,F,20,167,48,Italy,Rhythmic Gymnastics,0
Victoria Crivelli,F,25,176,65,Argentina,Handball,0
Victria Chamorro,F,20,176,78,Brazil,Water Polo,0
Viktor Axelsen,M,22,194,88,Denmark,Badminton,1
Viktor Bregner Bromer,M,23,194,87,Denmark,Swimming,0
Viktoriya Olegovna Andreyeva,F,24,190,74,Russia,Swimming,0
Viktoriya Vladimirovna Chayka,F,35,164,50,Belarus,Shooting,0
Viktria Egri,F,18,168,57,Hungary,Shooting,0
Vincent Anstett,M,34,178,78,France,Fencing,0
Vincent Breet,M,23,195,92,South Africa,Rowing,0
Vincenzo Maria Capelli,M,27,193,96,Italy,Rowing,0
Vinicius Biagi Antonelli,M,26,183,82,Brazil,Water Polo,0
Virginia Bardach Martn,F,24,174,57,Argentina,Swimming,0
Virginie Cueff,F,28,170,63,France,Cycling,0
Vitalina Igorevna Batsarashkina,F,19,162,60,Russia,Shooting,1
Vitaliy Mykolaiovych Butrym,M,25,180,75,Ukraine,Athletics,0
Vitaly Ivanovich Bubnovich,M,41,169,70,Belarus,Shooting,0
Vitaly Vladimirovich Dunaytsev,M,24,174,64,Russia,Boxing,1
Vittorio Bissaro,M,29,183,72,Italy,Sailing,0
Vivian Jepkemoi Cheruiyot,F,32,153,40,Kenya,Athletics,2
Viviana Micaela Chvez,F,29,164,52,Argentina,Athletics,0
Viviane Kretzmann Bahia,F,22,176,67,Brazil,Water Polo,0
Vlad-Drago Aicoboae,M,22,197,91,Romania,Rowing,0
Vlada Aleksandrovna Chigiryova,F,21,162,46,Russia,Synchronized Swimming,1
Vladimir Vladimirov Dubov,M,28,156,64,Bulgaria,Wrestling,0
Vladlena Eduardovna Bobrovnikova,F,28,180,72,Russia,Handball,1
Vtor Alves Benite,M,26,190,88,Brazil,Basketball,0
Vtor Hugo Silva Mouro dos Santos,M,20,185,74,Brazil,Athletics,0
Vyacheslav Dmitriyevich Andrusenko,M,24,194,85,Russia,Swimming,0
Wadha Bint Nasir Al-Balushi,F,26,160,75,Oman,Shooting,0
Wagner Jos Alberto Carvalho Domingos,M,33,187,100,Brazil,Athletics,0
Waheed Abdulridha Waheed Karaawi,M,33,178,74,Iraq,Boxing,0
Walid Bidani,M,22,185,125,Algeria,Weightlifting,0
"Walton Glenn Eller, III",M,34,188,82,United States,Shooting,0
Warren Barguil,M,24,184,62,France,Cycling,0
Wataru Endo,M,23,178,73,Japan,Football,0
Wendy Gabriela Cornejo Aliaga,F,23,162,54,Bolivia,Athletics,0
Weronika Deresz,F,30,170,57,Poland,Rowing,0
Whitney Elizabeth Engen,F,28,170,65,United States,Football,0
Whitney Jordan Ashley,F,27,178,91,United States,Athletics,0
Wiam Dislam,F,28,180,69,Morocco,Taekwondo,0
Wiktor Chabel,M,30,192,98,Poland,Rowing,0
Wilfried Bingangoye,M,31,172,80,Gabon,Athletics,0
Wilhem Belocian,M,21,178,78,France,Athletics,0
Will Brown,M,24,170,61,United States,Shooting,0
Will Crothers,M,29,195,95,Canada,Rowing,0
Willem Coertzen,M,33,186,79,South Africa,Athletics,0
Willemijn Bos,F,28,181,69,Netherlands,Hockey,1
"William ""Will"" Dean",M,29,195,95,Canada,Rowing,0
"William ""Willy"" Ambaka Ndayara",M,26,193,100,Kenya,Rugby Sevens,0
"William Bundu ""Will"" Claye",M,25,181,72,United States,Athletics,1
William Chetcuti,M,31,180,93,Malta,Shooting,0
William Peixoto Arjona,M,37,186,78,Brazil,Volleyball,1
Williams Collazo Gutirrez,M,29,172,71,Cuba,Athletics,0
Wilmar Enrique Barrios Tern,M,22,179,70,Colombia,Football,0
Winny Chebet,F,25,152,48,Kenya,Athletics,0
Wuta Waco Bige Dombaxi,F,30,180,92,Angola,Handball,0
Xan de Waard,F,20,163,55,Netherlands,Hockey,1
"Xinru ""Colin"" Cheng",M,26,175,80,Singapore,Sailing,0
Yaaqoub Al-Saadi,M,20,175,62,United Arab Emirates,Swimming,0
Yadinis Amars Rocha,F,32,162,57,Colombia,Judo,0
Yael Castiglione,F,30,184,75,Argentina,Volleyball,0
Yalennis Castillo Ramrez,F,30,174,78,Cuba,Judo,0
Yana Borysivna Belomoina,F,23,164,46,Ukraine,Cycling,0
Yana Ivanovna Alekseevna,F,28,169,60,Azerbaijan,Boxing,0
Yaniel Carrero Zambrano,M,20,174,74,Cuba,Athletics,0
Yaniuska Isabel Espinosa,F,29,172,114,Venezuela,Weightlifting,0
Yann Candele,M,45,173,82,Canada,Equestrianism,0
Yannick Agnel,M,24,202,90,France,Swimming,0
Yannick Brauchli,M,28,173,63,Switzerland,Sailing,0
Yannick Philippe Andr Borel,M,27,197,100,France,Fencing,1
Yaroslava Aleksandrovna Bondarenko,F,19,158,62,Russia,Cycling,0
Yasemin Adar,F,24,180,75,Turkey,Wrestling,0
Yasemin Can,F,19,166,49,Turkey,Athletics,0
Yasemin Ecem Anagz,F,17,165,66,Turkey,Archery,0
Yasmani Copello Escobar,M,29,191,85,Turkey,Athletics,1
Yasmina Aziez,F,25,172,52,France,Taekwondo,0
Yehia El-Deraa,M,21,186,82,Egypt,Handball,0
Yehualeye Beletew,F,18,165,52,Ethiopia,Athletics,0
Yekaterina Aleksandrovna Ektova,F,23,170,59,Kazakhstan,Athletics,0
Yekaterina Borisovna Bukina,F,29,174,75,Russia,Wrestling,1
Yekaterina Vladimirovna Belanovich (Artyukh-),F,24,173,64,Belarus,Athletics,0
Yekaterina Vladimirovna Dyachenko,F,28,167,53,Russia,Fencing,1
Yelena Fyodorovna Anyushina,F,22,,,Russia,Canoeing,0
Yelena Vasilyevna Abramchuk (Kopets-),F,28,182,95,Belarus,Athletics,0
Yelyzaveta Viktorivna Bryzhina,F,26,173,63,Ukraine,Athletics,0
Yennifer Frank Casaas Hernndez,M,37,187,117,Spain,Athletics,0
Yennifer Mariana Csar Salazar,F,27,159,57,Venezuela,Cycling,0
Yerko Ignacio Araya Corts,M,30,178,64,Chile,Athletics,0
Yeseida Isaid Carrillo Torres,F,22,168,52,Colombia,Athletics,0
Yevgeny Petrovich Alekseyev,M,38,186,93,Kazakhstan,Canoeing,0
Yevgeny Yevganyevich Donskoy,M,26,185,74,Russia,Tennis,0
Yevgeny Yuryevich Drattsev,M,33,180,74,Russia,Swimming,0
Yidiel Islay Contreras Garca,M,23,180,74,Spain,Athletics,0
Yiech Pur Biel,M,21,178,62,Refugee Olympic Athletes,Athletics,0
Yigrem Demelash,M,22,167,48,Ethiopia,Athletics,0
Ymi Geoffrey Apithy,M,27,192,96,Benin,Fencing,0
Yogeshwar Dutt,M,33,168,65,India,Wrestling,0
Yohan Blake,M,26,180,80,Jamaica,Athletics,1
Yohann Diniz,M,38,185,66,France,Athletics,0
Yordanys Duraona Garca,M,28,185,83,Dominica,Athletics,0
Yosra Dhieb,F,20,178,123,Tunisia,Weightlifting,0
Youndry Andjar de la Cruz,M,26,171,60,Dominican Republic,Athletics,0
Youns Es-Salhi,M,23,180,64,Morocco,Athletics,0
Youssef Akrout,M,25,180,78,Tunisia,Sailing,0
Yowlys Bonne Rodrguez,M,32,152,57,Cuba,Wrestling,0
Yssica Camilo Gonzlez,F,23,168,73,Dominican Republic,Archery,0
Yudelquis Maridalia Contreras,F,30,158,58,Dominican Republic,Weightlifting,0
Yuki Ebihara,F,30,164,68,Japan,Athletics,0
Yukiya Arashiro,M,31,171,64,Japan,Cycling,0
Yulenmis Aguilar Martnez,F,20,165,66,Cuba,Athletics,0
Yuliya Valentinovna Bichik,F,33,184,84,Belarus,Rowing,0
Yuliya Vladimirovna Arkhipova-Andreyeva,F,32,168,51,Kyrgyzstan,Athletics,0
Yuri Alvear Orjuela,F,30,176,70,Colombia,Judo,1
Yuriy Volodymyrovych Cheban,M,30,185,93,Ukraine,Canoeing,1
Yusuf Dike,M,43,180,80,Turkey,Shooting,0
Yvette Broch,F,25,184,73,Netherlands,Handball,0
Yvon Belin,F,22,188,74,Netherlands,Volleyball,0
Zakaria Draoui,M,22,160,60,Algeria,Football,0
Zbigniew Mateusz Baranowski,M,25,180,86,Poland,Wrestling,0
Zhan Vensanovych Beleniuk,M,25,178,85,Ukraine,Wrestling,1
Zhanibek Alimkhanuly,M,23,182,75,Kazakhstan,Boxing,0
Zhansel Deniz,F,24,175,67,Kazakhstan,Taekwondo,0
"Zhi Cheng ""Tiffany"" Chan",F,22,160,52,Hong Kong,Golf,0
Zhuldyz Attakurovna Eshimova (Turtbaeva-),F,28,152,48,Kazakhstan,Wrestling,0
Zied Ait Ouagram,M,27,191,75,Morocco,Wrestling,0
Zoe Arancini,F,25,170,70,Australia,Water Polo,0
Zoe Buckman,F,27,168,50,Australia,Athletics,0
Zoe Michaela  de Toledo,F,29,172,58,Great Britain,Rowing,1
Zorana Arunovi,F,29,168,90,Serbia,Shooting,0
Zouhair Aouad,M,27,175,69,Bahrain,Athletics,0
Zoulehia Abzetta Dabonne,F,23,175,57,Cote d'Ivoire,Judo,0
Zoya Sergeyevna Ananchenko,F,19,165,67,Kazakhstan,Canoeing,0
Zsfia Erdlyi,F,28,164,53,Hungary,Athletics,0
Zsfia Katalin Csonka,F,32,164,89,Hungary,Shooting,0
Zsombor Berecz,M,30,195,95,Hungary,Sailing,0
Zurabi Datunashvili,M,25,183,75,Georgia,Wrestling,0
ala Bykakay,F,26,172,58,Turkey,Tennis,0
